"","authors","title","Published.Year","journal","DOI","abstract"
"232","Jamshidian, M. K.; Saboori, A.; Akrami, M. A.; van Straalen, N. M.","Oribatid mite communities in contaminated soils nearby a lead and zinc smelting plant in Zanjan, Iran",2015,"Systematic and Applied Acarology","","Many studies have shown that the composition of invertebrate communities in soil changes under the influence of stressors in the soil ecosystem. Conversely, an observed altered community structure may be indicative of stress. In this study we aimed to investigate responses of oribatid mite communities to heavy metal (zinc, copper and cadmium) contamination of grasslands nearby a lead and zinc smelting plant at Zanjan, Iran. Soil analysis showed that the Zanjan plant is a major source of zinc and cadmium in the area. No relationship could be found between metal pollution and total density of oribatids, but the number of species and the Shannon diversity index were lowest in the sites polluted by zinc and cadmium. Species diversity was significantly negatively correlated with zinc and cadmium, but not with copper concentrations. Oribatula (Zygoribatula) connexa connexa Berlese, 1904, was a dominant species at all sites; the percentage dominance of this species was highest at the most polluted site. Our survey confirms that oribatid mite communities display a great variety of responses to heavy metals, depending on the species."
"233","Iordache, M.; Borza, I.","The bioremediation potential of earthworms (Oligochaeta: Lumbricidae) in a soil polluted with heavy metals",2012,"Journal of Food Agriculture & Environment","","The aim of the study was to distinguish the earthworms' capacity to remediate the quality of soils polluted with heavy metals (Zn, Cu, Mn, Pb) as a result of using the swine residual water in agriculture (50 m(3) ha(-1)). The study has been conducted in a Chernozem (FAO System), in a culture of Zea map L. The collected data consisted of soil analyses and tissue analyses to establish the heavy metal uptake by earthworm species. Determination of the heavy metal contents of soil has been realized in two depth intervals: 0-10 cm and 10-20 cm, through the method of flame atomic absorption spectrometry. Earthworm extraction was done using formaldehyde according to the methodology in force at six months since the residual water has been applied on soil. Both for earthworm number and earthworm weight there were significant differences (p<0.05) between the values recorded in controls and treatments. i.e. the earthworm number considerably increased in the variants fertilised with swine residual water and also the earthworm weight, which confirm the earthworm preference for the organic matter provided by the residual water. Also there were significant differences (p<0.05) between the three analyzed earthworm species regarding the accumulation process of the investigated microelements and, among them. Lumbricus rubellus showed in its tissues the lowest concentration of microelements and Allolobophora rosea the highest concentrations. There were also much lower concentrations of the studied microelements in the earthworm tissues as compared with the adjacent soil in all analyzed species, and among them there was recorded the lowest content of heavy metals in Lumbricus castaneus. This aspect and also the fact that this species has been the best represented as numeric abundance in the experimental soil confirm the good capacity of this species to tolerate the presence of the heavy metals in soil and to metabolize them with the soil ingestion within the feeding process. The results of this study support the idea claiming the earthworms bioremediator potential of the soils polluted with heavy metals, as a possibility to restore their quality by maintaining in appropriate levels the earthworm populations in the agricultural lands. These findings also come to sustain the specialization of this role on earthworm species."
"234","Hui, N.; Selonen, S.; Hanzel, J.; Tuomela, M.; Rainio, A.; Kontio, H.; Hakala, K.; Lankinen, P.; Steffen, K.; Fingerroos, T.; Strommer, R.; Setala, H.; Hatakka, A.; Romantschuk, M.","Influence of lead on organisms within the detritus food web of a contaminated pine forest soil",2009,"Boreal Environment Research","","The shooting range site at Halvala in southern Finland is heavily contaminated by lead pellets. Still, the appearance of the forest is not visibly changed. Lead contamination strongly decreased the amount of enchytraeid worms, while reporter bacteria showed no or very minor decrease in viability. The bioavailability of lead in the soil was measured to be low, which was verified by the very low water extractability of lead. Nevertheless, the frequency of lead resistant cultivable bacteria was elevated, and the bacterial community composition in lead contaminated soil was altered. Some enzymes of litter decomposing fungi isolated from Halvala also showed an elevated lead tolerance, though generally their activity was highly variable and in some cases lead enhanced enzyme production of a fungus. In conclusion, our results point to a low acute toxicity of lead, but to a risk of deleterious long term effects in a pine forest environment."
"235","Austruy, A.; Laplanche, C.; Mombo, S.; Dumat, C.; Deola, F.; Gers, C.","Ecological changes in historically polluted soils: Metal(loid) bioaccumulation in microarthropods and their impact on community structure",2016,"Geoderma","10.1016/j.geoderma.2016.02.011","Soil pollution by persistent metal(loid)s present environmental and sanitary risks. While the effects of metal(loid)s on vegetation and macrofauna have been widely studied, their impact on microarthropods (millimetre scale) and their bioaccumulation capacity have been less investigated. However, microarthropods provide important ecosystem services, contributing in particular to soil organic matter dynamics. This study focussed on the impact of metal(loid) pollution on the structure and distribution of microarthropod communities and their potential to bioaccumulate lead (Pb). Soil samples were collected from a contaminated historical site with a strong horizontal and vertical gradient of Pb concentrations. Microarthropods were extracted using the Berlese method. The field experiments showed that microarthropods were present even in extremely polluted soils (30,000 mg Pb kg(-1)). However, while microarthropod abundance increased with increasing soil C/N content (R-2 = 0.79), richness decreased with increasing pollution. A shift in the community structure from an oribatid-to a springtail-dominated community was observed in less polluted soils (R-2 = 0.68). In addition, Pb bioamplification occurred in microarthropods, with higher Pb concentrations in predators than in detritivorous microarthropods. Finally, the importance of feeding and reproductive ecological traits as potentially relevant descriptors of springtail community structures was highlighted. This study demonstrates the interest of microarthropod communities with different trophic levels and ecological features for evaluating the global environmental impact of metal(loid) pollution on soil biological quality. (C) 2016 Elsevier B.V. All rights reserved."
"236","Hu, C.; Hermann, G.; Pen-Mouratov, S.; Shore, L.; Steinberger, Y.","Mammalian steroid hormones can reduce abundance and affect the sex ratio in a soil nematode community",2011,"Agriculture Ecosystems & Environment","10.1016/j.agee.2011.05.024","The effect of mammalian steroid hormones (estradiol, estrone, progesterone, and testosterone) in environmentally relevant concentrations on a soil free-living nematode community was examined. Steroids were applied in 2.5 L water on 0.25 m(2) plots in triplicate, and comparison was made with plots receiving water alone. Soil samples were taken from the 0 to 5, 5 to 10, and 10 to 20-cm soil layers. The soil free-living nematode populations were examined at zero time, 12 h, 72 h, 96 h, 120 h, and 25 d post-treatment. Testosterone, progesterone, and estrone were persistent in the soil while the estradiol rapidly dissipated. The total number of nematodes was decreased by the presence of testosterone, progesterone, or estrone but not estradiol. Testosterone, progesterone, and estrone increased the number of males in relationship to females (60:40) compared to the control and estradiol-treated plots (50:50). The presence of steroids had no consistent effect on the distribution of bacteria-feeders, plant-feeders, and omnivore-predators. We conclude that the addition of steroid hormones in the soil can reduce abundance and change the sex ratio in a free-living nematode community. This would be the first demonstration of an effect of an endocrine-active agent excreted by mammals on a free-moving terrestrial organism. (C) 2011 Elsevier B.V. All rights reserved."
"237","Hoy, J. B.; Shea, P. J.","AREA-WIDE EFFECT ON ORIBATID MITES (ACARI) FOLLOWING APPLICATION OF LINDANE FOR PROTECTION OF LODGEPOLE PINE FROM BARK BEETLE ATTACK",1992,"Environmental Entomology","10.1093/ee/21.4.745","The effect of lindane on numbers and community structure of oribatid mites was studied in northern Montana. Trees on five 0.4-ha plots were sprayed with lindane at 5.5 kg/ha (AI) in a simulated operational program to protect lodgepole pine from bark beetles. Sprayed plots and paired control plots were sampled before spray application and five times after treatment over a 2-yr period. Numbers of immature specimens changed more than numbers of adults. Both were significantly depressed 113 after treatment. Two superfamilies were significantly affected after spraying. Of five measures of community structure, none demonstrated an effect; however, the powers of the statistical tests were quite low. The importance of statistical power in studies of effect of pesticides on nontarget species is discussed. Because the observed effects were short-lived and of relatively small amplitude, we conclude it is unlikely there is a lasting effect on the oribatid community."
"238","Hobbelen, P. H. F.; van den Brink, P. J.; Hobbelen, J. F.; van Gestel, C. A. M.","Effects of heavy metals on the structure and functioning of detritivore communities in a contaminated floodplain area",2006,"Soil Biology & Biochemistry","10.1016/j.soilbio.2005.11.010","The aim of this study was to determine the effects of heavy metal pollution on the structure and functioning of detritivore soil communities that consist of isopods, millipedes and earthworms, in 15 heavily polluted flood plain soils, located in the delta area of the rivers Rhine and Meuse, in the Netherlands. The 15 study sites represent a gradient in Zn, Cu and Cd concentrations. The structural attributes of the detritivore community, which were assessed, were the species richness and densities in the field sites. The functioning of the detritivore community was studied by determining organic matter decomposition using litter bags and feeding activity with the baitlamina method. Concentrations of Cd, Cu and Zn were measured in soil, pore water and 0.01 M CaCl2 extracts of the soil, in adult earthworms and plant leaves. Results show that metal pollution is not a dominating factor determining the species richness and densities of the selected detritivore groups, although the biomass of the earthworm Lumbricus rubellus was positively and significantly correlated to Zn concentrations in pore water and 0.01 M CaCl2 extracts. Litter decomposition was significantly and positively correlated to detritivore biomass and 0.01 M CaCl2 extractable Cd concentrations in soil and negatively to pH-CaCl2, although the range of pH values was very small. It can be concluded that in spite of high metal levels in the soil, bioavailable concentrations are too low to result in clear negative effects on the structure and functioning of detritivores in the Biesbosch, the Netherlands. (c) 2006 Elsevier Ltd. All rights reserved."
"239","Hinojosa, M. B.; Carreira, J. A.; Garcia-Ruiz, R.; Rodriguez-Maroto, J. M.; Daniell, T. J.; Griffiths, B. S.","Plant treatment, pollutant load, and soil type effects in rhizosphere ecology of trace element polluted soils",2010,"Ecotoxicology and Environmental Safety","10.1016/j.ecoenv.2010.01.013","Re-vegetation of trace element contaminated soils can alter the pH and chelating capacity in the rhizosphere, increasing the mobility of pollutants, which, in turn, may impact on rhizosphere ecology. In this study a short-term pot experiment was carried out in order to investigate the multi-factorial effects of: buffering capacity (sandy-loam and loam soils); pollutant load (0%, 1.3%, and 4% of pyrite sludge), and the presence/absence of plant (Lolium perenne L. and Medicago sativa L) on the mobility of trace elements, soil biochemical functionality (hydrolase activities), and biological diversity (bacterial and nematode communities). The experiment was carried out with representative soils from the Guadiamar basin (SW Spain), an area where the Aznalcollar mining spill affected over 4000 ha. Results indicated that the development of rhizospheres in polluted soils (coarse-textured) increases the mobilization of trace elements. In general the presence of roots has stimulatory effects on soil quality indicators such as hydrolase activities and both bacterial and nematode communities. However, the presence of high amount of metals interferes with these beneficial effects. This study provided evidence about the complexity of the impact of growing plants on trace element polluted soils. Trace element mobilization, hydrolase activities and bacterial and nematode communities in the rhizosphere are dependent on plant species, soil type, and pollution dose. (C) 2010 Elsevier Inc. All rights reserved."
"240","Ilieva-Makulec, K.; Tyburski, J.; Makulec, G.","Soil nematodes in organic and conventional farming system: a comparison of the taxonomic and functional diversity",2016,"Polish Journal of Ecology","10.3161/15052249pje2016.64.4.010","Agricultural practices in organic farming theoretically are supposed to lead to higher diversity and activity of soil organisms, which correlates with the stability or resilience of the soil system. In a 3-year study, we tested that hypothesis by comparing the nematode abundance, genera composition and community structure in the soil of winter wheat crop under organic and conventional management. We found the soil type to be a stronger predictor for the total nematodes abundance than the farming system itself. In both systems nematode densities were higher in the sandy than in the clayey soil. Total abundance of nematodes was significantly higher in the organic than conventional farm only in sandy soil and only in the autumn. Significantly more plant feeders was observed in organic than in the conventional crops regardless the soil type. In the clayey soil more bacterial feeders were found in the conventional farm, while in the sandy soil in the organic one. Nematode generic richness was higher in the organic (a range of 15-35 genera) than in the conventional crops (a range of 15-29) on most sampling dates. Higher generic diversity (H') in the organic crop than in conventional was found for total nematodes in the clayey soil, and for hyphal feeders in sandy soil. H' for plant feeders were higher under organic than conventional system in both types of soil. In both farming systems bacterial feeding genera (Rhabditis, Panagrolaimus, Cephalobus and Acrobeloides) dominated in the communities. Plant feeders and omnivores were found among dominant genera only in the clayey soil, first under both systems, the latter only in the organic crops. The evaluation based on the ecological indices such as Maturity Index, Plant Parasite Index, Enrichment and Structure Index, and ratios between nematode trophic groups, showed that nematode communities under both farming systems most of the time were low matured and the soil food webs strongly disturbed."
"241","Huuselaveistola, E.; Kurppa, S.; Pihlava, J. M.","EFFECTS OF FENVALERATE AND PERMETHRIN ON SOIL ARTHROPODS AND ON RESIDUES IN AND DECOMPOSITION OF BARLEY STRAW",1994,"Agricultural Science in Finland","10.23986/afsci.72697","The effects of two pyrethroids, fenvalerate and permethrin, were studied in field experiments on two soil types: organic soil and sandy loam. The objectives were to determine 1) the persistence of fenvalerate and permethrin in straw, 2) the effects of the pyrethroids on epigeal Arachnida and Collembola, and other soil animals and 3) the effects of the pyrethroids on the decomposition rate of straw. The residues of fenvalerate and permethrin in straw approximately 2 months after application varied between 0.1 to above 5 mg/kg straw in 1986, 1988 and 1989, but was less than 0.5 mg/kg straw at harvest in 1991. No pesticide residues were found in straw samples taken in the following summer in the 1991 experiment. The decomposition rate of straw did not differ between permethrin and fenvalerate-treated plots and control plots. The rate of decomposition was slightly higher in sandy soil than in organic soil, but the same on tilled and non-tilled plots. Fenvalerate and permethrin affected the numbers of epigeal Arachnida and Collembola in the field. Araneae were more numerous in pitfall samples taken from control plots than in insecticide-treated plots immediately after treatment. In organic soil the difference was marginally significant after harvest. The abundance of Acarina in pitfalls was significantly lower in insecticide-treated plots than in control plots. In the sandy soil experiment, less Collembola occurred in pitfalls of fenvalerate plots than in permethrin or control plots. There were no differences in any of the groups of soil animals in soil cores extracted with dry funnels between the treatments."
"242","Atwood, L. W.; Mortensen, D. A.; Koide, R. T.; Smith, R. G.","Evidence for multi-trophic effects of pesticide seed treatments on non targeted soil fauna",2018,"Soil Biology & Biochemistry","10.1016/j.soilbio.2018.07.007","The use of pesticide seed treatments containing neonicotinoid insecticides is widespread in large-scale row crop agriculture. Recently, use of pesticide seed treatments has come under scrutiny due to concerns over non-target impacts on beneficial insects (e.g., honey bees) and the environment. Amidst these growing concerns, however, few studies have examined how pesticide seed treatments may impact soil faunal communities across multiple feeding guilds and the soil processes they regulate. We grew corn and soybean with and without pesticide seed treatment for three years and measured the response of the soil faunal detritivore, herbivore, mixed, and predator feeding guilds, nitrogen mineralization, and surface litter decomposition at three time points each year. We found the effects of seed treatment on the soil faunal community varied in direction and magnitude by year and feeding guild and were most apparent in the predator and detritivore guilds. Guild-level effects tended to be strongest soon after planting but remained apparent throughout the crop growing season, particularly in the predator and mixed feeding guilds. We found no evidence that pesticide seed treatment affected the herbivore guild the intended target of the seed treatment, or nitrogen mineralization, surface litter decomposition, or grain yields. Collectively, these data suggest that pesticide seed treatments can alter the abundance, richness, and diversity of all non-targeted soil faunal guilds. Additional research will be necessary to determine the longer term significance of pesticide seed treatment-driven changes in non-target soil faunal communities in agroecosystems."
"243","Holmstrup, M.; Maraldo, K.; Krogh, P. H.","Combined effect of copper and prolonged summer drought on soil Microarthropods in the field",2007,"Environmental Pollution","10.1016/j.envpol.2006.07.013","Soil microarthropods experience a large range of natural stressors in their natural environment, e.g. variations in temperature and soil moisture, but also anthropogenic stressors such as soil pollutants. In the present study the combined effect of drought stress and copper pollution on microarthropods was investigated in a field study. We hypothesised that microarthropods in copper polluted soil would be more susceptible to drought than animals in control soil. Surprisingly, the abundance of microarthropods in autumn was positively affected by summer drought and copper pollution did not influence the effect of drought in a negative way. The stimulation was mainly seen as an increase of Acari, but also groups of Collembola were positively affected. We suggest that the positive effect of the enforced summer drought could be due to a rapid recovery, which further is accelerated by an increase of food resources (microbes) which have not been utilized during the drought. (c) 2006 Elsevier Ltd. All rights reserved."
"244","Holmstrup, M.; Hornum, H. D.","Earthworm colonisation of abandoned arable soil polluted by copper",2012,"Pedobiologia","10.1016/j.pedobi.2011.08.005","The distribution, density and biomass of earthworms were investigated at the copper polluted site, Hygum (Denmark). In 1994, shortly after farming of the area was abandoned, only four earthworm species were present and their distribution was restricted to areas where copper concentration did not exceed 200 mg kg(-1) dry soil. Sixteen years later (in 2010). without any agricultural activity, ten species of earthworms were found, in particular, epigeic species were present where soil copper concentrations reached > 1000 mg kg(-1) dry soil. (C) 2011 Elsevier GmbH. All rights reserved."
"245","Maraldo, K.; Christensen, B.; Strandberg, B.; Holmstrup, M.","Effects of copper on enchytraeids in the field under differing soil moisture regimes",2006,"Environmental Toxicology and Chemistry","10.1897/05-076r.1","The aims of this study were to investigate the combined effects of drought stress and copper pollution on enchytraeids under natural conditions in the field and to compare the results of laboratory toxicity tests with results of the field study. Such studies were conducted to increase the understanding of interactions between chemicals and natural stressors and assess the predictive value of standardized laboratory tests with enchytraeids. The combined effect of copper and summer drought on enchytraeids was investigated in an old copper-contaminated field site at Hygum, Denmark, in three areas with different copper burdens. Each area consisted of five plots, which were divided into two subplots: one control and one drought subplot in which precipitation was excluded for a 45-d period during summer. Enchytraeids were sampled in spring (before the enforced drought began) and in autumn (after recovery from drought). Clear effects of copper were evident in both the field and the laboratory experiment. The field population density and species composition was highly affected by copper at concentrations in the range 300 to 500 mg Cu/kg dry soil and higher. In particular, a greatly impoverished species diversity was found in the copper-polluted areas. The effects of copper in the field compared reasonably well with the results of the laboratory tests. Surprisingly, possible effects of summer drought in the field were not detected in the autumn sampling, perhaps because of rapid recovery of the enchytraeid populations in both unpolluted and copper-polluted areas."
"246","Manu, M.; Onete, M.; Florescu, L.; Bodescu, F.; Iordache, V.","Influence of heavy metal pollution on soil mite communities (Acari) in Romanian grasslands",2017,"North-Western Journal of Zoology","","Very few studies have addressed to the influence of heavy metal pollution on soil mite communities (Acari) in European grasslands. Considering this, our aim was to provide quantitative information about their diversity in mountain grasslands located at various distances from a heavily polluted industrial site, and to relate data on species composition and abundance with the heavy metal pollution affecting them. We investigated six sites, with significant difference in the concentration of heavy metal pollutants (As, Cu, Pb, Zn and Mn). We found that the species diversity and the numerical density of Acari decreased significantly with the increase in concentration of the analysed pollutants. The statistical analyses revealed the existence of mite communities that are characteristic of different levels of pollution. This differential response of soil mites, especially mesostigmatids, to heavy metal pollution highlights their potential as bio-indicators of damaged grasslands."
"247","Lytton-Hitchins, J. A.; Greenslade, P.; Wilson, L. J.","Effects of Season and Management of Irrigated Cotton Fields on Collembola (Hexapoda) in New South Wales, Australia",2015,"Environmental Entomology","10.1093/ee/nvv029","The effects of production practices on the relative abundance of springtails (Collembola) in irrigated cotton fields of northern New South Wales (NSW) were studied over 2 yr to examine effects of farm management on these decomposer organisms. Pitfall trapping and soil core extraction was undertaken in both pseudoreplicated plots within whole fields on cotton farms and on experimental replicate plots of Envirofeast cotton and Lucerne. The relative abundance of surface-active springtails in cotton rows and densities of soil species from the rhizosphere were calculated. Twenty-three species of Collembola were collected from 5 fields, 19 in pitfall traps, and 11 in soil cores. Five species, Setogaster sp., Proisotoma minuta, Entomobrya unostrigata, Entomobrya multifasciata grp, and Lepidobrya sp. were numerically dominant on the ground at 86-96% of individuals and Mesaphorura sp., Folsomides parvulus, and Hemisotoma thermophila grp dominant in the soil. Native grassland samples contained 15 species of which a probable 10 were native and 8 were not found in cotton. Nineteen species of the 24 species identified from cotton were predominantly fungal feeders. Highest catches of Collembola occurred after flowering and soil Collembola increased with depth and during cotton growth on unsprayed plots but decreased on sprayed plots. Surface soil moistures affected daily catch rates with decomposing residues, crop stage, predator abundance, and season as secondary factors. Insecticide (endosulfan, pyrethroid, carbamate, and organophosphate) and predator effects were either negligible or unclear depending on the factor involved. Springtails appear to be predominately food limited during times of adequate soilmoisture in cotton fields."
"248","Lundgren, J. G.; Hesler, L. S.; Clay, S. A.; Fausti, S. F.","Insect communities in soybeans of eastern South Dakota: The effects of vegetation management and pesticides on soybean aphids, bean leaf beetles, and their natural enemies",2013,"Crop Protection","10.1016/j.cropro.2012.08.005","Although most pests of soybeans, Gycine max (L), in the Northern Great Plains are managed using pesticides, farm management practices that encourage biodiversity offer promising long-term, sustainable solutions for controlling insect and weed pests profitably. The recent invasion of the Northern Great Plains by the soybean aphid (Aphis glycines Matsumura; Hemiptera: Aphididae) has had potentially important implications for insect communities in soybeans of this region, although recent descriptions of this regional community are scarce. We describe how three pest management systems that vary in the intensity with which they rely on herbicides and insecticides (chemically intensive, reduced chemical, and spring cover crop treatments) affect insect pest populations, arthropod predator communities, weed assemblages,, and soybean yield and profitability. Soybean aphids exceeded economic thresholds in all three years, and insecticides successfully suppressed these, outbreaks in the two chemical treatments; aphids exceeded the economic injury level in the cover crop treatment in two of three study years. Bean leaf beetle (Cerotoma trifurcata Forster; Coleoptera: Chrysomelidae) populations were sub-economic in all treatments; insecticides targeting soybean aphid also reduced bean leaf beetles in the first year of study when beetle populations were at their highest. Foliar-dwelling predator populations were substantially higher in the cover crop treatment than in the chemical treatments in all years of study; population declines in the latter treatments were strongly associated with insecticide applications targeting soybean aphids. Foliar predator populations did not rebound within the growing season after insecticides were applied. Soil predator populations were largely unaffected by treatment (except in 2006, when they were more abundant in the cover crop treatment than in the chemical treatments). Weed communities varied among treatments and study years, with few consistent trends except that the chemically intensive treatment had lower weed densities than the other treatments. Although input costs of the cover crop and reduced chemical treatments were lower than the chemically intensive treatment, the chemically intensive treatment was the most profitable of the three. Nevertheless, we contend that the cover crops can be managed more efficiently in order to increase the profitability and competitiveness of this treatment while gaining the long-term benefits gleaned from conserving biodiversity in our agroecosystems. Published by Elsevier Ltd."
"249","Liu, W.; Zhang, J. L.; Norris, S. L.; Murray, P. J.","Impact of Grassland Reseeding, Herbicide Spraying and Ploughing on Diversity and Abundance of Soil Arthropods",2016,"Frontiers in Plant Science","10.3389/fpls.2016.01200","In order to determine the interactive effect of reseeding, herbicide spraying and ploughing on soil fauna communities, we conducted a grassland reseeding experiment combined with pre-reseed management to examine how with the whole reseeding process affects soil faunal composition. Sampling occasions and exact treatments were as follows: (1) before chemical herbicide spray; (2) after spray but before ploughing; (3) after ploughing but before reseeding; and (4) after 1 year of recovery. Our results demonstrate that, Acari and Collembola were the two soil fauna taxa with the highest abundance and accounted for around 96% of the relative total abundance among the various managements. Herbicide application tended to increase soil invertebrate abundance. Conversely, subsequent ploughing significantly reduced soil invertebrate abundance and had an obvious negative effect on soil primary and secondary decomposers, which were mainly due to the variations of Acari (especially Oribatida) and Coleoptera group abundance. Moreover, reseeding also reduced the individual number of the groups mentioned above, and favored those predators with a larger body size and individual weight. After 1 year recovery, Collembola abundance recovered to the pre-treatment levels, while with Arthropod and Acari groups were still fluctuating."
"250","Lukkari, T.; Taavitsainen, M.; Vaisanen, A.; Haimi, J.","Effects of heavy metals on earthworms along contamination gradients in organic rich soils",2004,"Ecotoxicology and Environmental Safety","10.1016/j.ecoenv.2003.09.011","Earthworm communities and metal (bio)availability to earthworms along contamination gradients was studied in order to support chemical analyses in risk assessment of metal contaminated soils. Earthworms were sampled in three metal contaminated areas with different habitat and soil properties in Finland. Earthworm and soil samples were collected at three distances (1, 2, and 4 km) from the emission sources. Earthworms were identified as to species and analyzed for heavy metals. Total soil metal concentrations were analyzed using an ultrasound-assisted extraction method and bioavailable metal fraction was estimated by acetic acid extraction. In two of the three areas studied, heavy metal concentrations close to the emission sources were high enough to have harmful effects on earthworms and their environments. In general, diversity, total numbers, and biomass of earthworms increased with increasing distance from the emission sources. When individuals were available for analyses close to the emission source, positive correlations between metal concentrations in the earthworms and those in the soils were observed. (C) 2003 Elsevier Inc. All rights reserved."
"251","Liu, M. Q.; Chen, X. Y.; Griffiths, B. S.; Huang, Q. R.; Li, H. X.; Hu, F.","Dynamics of nematode assemblages and soil function in adjacent restored and degraded soils following disturbance",2012,"European Journal of Soil Biology","10.1016/j.ejsobi.2011.09.004","Responses of nematode assemblages and soil function (short-term decomposition) in restored and degraded soil following an experimental disturbance (copper, chloroform, heat or drying) were monitored for 65 days. We tested the hypotheses: restoration enhanced the measured soil parameters; stability to disturbance was higher in degraded soil due to induced tolerance; and whether changes of the nematode assemblage were related to soil function. Even after disturbance, greater nematode abundance (>150 vs >10 per 100 g soil), nematode richness (D' > 1.0 vs >0.4) and function (>1.0 vs >0.05 mg CO2 g(-1) week(-1)) were maintained in restored than in degraded soil, respectively. An increase in nematode enrichment index (from 60 to >75) following all disturbances was attributed to the relatively high abundance of tolerant fungivores. The greater stability of the nematode structure index in degraded soil following heat and drying (120% and 125% respectively of the control), than in restored soil (90% and 30% of control) was due to a higher proportion of tolerant omnivores and carnivores. Thus some higher trophic level nematodes, with high c-p values, were tolerant to disturbance. However, stability of function was greater for restored than degraded soil, with a reduction over time in the degraded soil regardless of disturbance type. The differences in the responses of nematodes and soil function to disturbance suggest that nematodes could provide complementary insights into soil stability. (C) 2011 Elsevier Masson SAS. All rights reserved."
"252","Liu, M. P.; Xu, J.; Krogh, P. H.; Song, J.; Wu, L. H.; Luo, Y. M.; Ke, X.","Assessment of toxicity of heavy metal-contaminated soils toward Collembola in the paddy fields supported by laboratory tests",2018,"Environmental Science and Pollution Research","10.1007/s11356-018-1864-y","Effects on soil Collembola of Cu, Zn, Pb, and Cd pollution from Cu smelters over 40 years were investigated in paddy fields from an area of Eastern China. We compared the field effects to those observed in single-species laboratory tests employing the hemiedaphic collembolan Folsomia candida and the epedaphic Sinella curviseta obtained from laboratory cultures and exposed to field-collected polluted soil. The results indicated that different collembolan species responded differently to the pollution in the fields and could be divided into sensitive, indifferent, and tolerant types accordingly. The abundance of sensitive species decreased as the pollution increased, but this was not the same for indifferent and tolerant species. The dominant species changed from sensitive to tolerant species as the pollution increased. The reproduction of F. candida and S. curviseta was most sensitive to the contaminated soil compared to growth and survival; the sensitivity of the two species was similar. The growth was more sensitive than the survival for F. candida but not for S. curviseta. The growth and survival of F. candida were much more sensitive than those of S. curviseta. Sensitivity of field populations of F. candida (EC10 31 [15-46]) and hemiedaphic species Folsomia quadrioculata (EC10 52 [0.7-102]) were comparable with sensitivity of the reproduction of F. candida in the single-species tests (EC10 21 [14-27]), suggesting that single-species test based on laboratory cultures and field soil could be used to link laboratory and field data and then reflect the field situation. S. curviseta could be used as an epedaphic species in single-species tests and F. quadrioculata as an indicator species for assessment of field effect."
"253","Liphadzi, K. B.; Al-Khatib, K.; Bensch, C. N.; Stahlman, P. W.; Dille, J. A.; Todd, T.; Rice, C. W.; Horak, M. J.; Head, G.","Soil microbial and nematode communities as affected by glyphosate and tillage practices in a glyphosate-resistant cropping system",2005,"Weed Science","10.1614/ws-04-129r1","Field experiments were conducted at Ashland Bottoms in northeastern Kansas and at Hays in western Kansas in 2001, 2002, and 2003 to determine the response of soil microbial and nematode communities to different herbicides and tillage practices under a glyphosate-resistant cropping system. Conventional herbicide treatments were a tank mixture of cloransulam plus S metolachlor plus sulfentrazone for soybean and a commercially available mixture of acetochlor and atrazine for corn. Glyphosate was applied at 1.12 kg ai ha(-1) when weeds were 10 or 20 cm tall in both corn and soybean. Soil samples were collected monthly at Ashland Bottoms during the growing period for soil microbial biomass (SMB) carbon determination. In addition, substrate-induced respiration (SIR) and BIOLOG substrate utilization were determined at the end of the growing season each year at Ashland Bottoms, and nematode populations were determined at the beginning and the end of the growing season at both sites. Direct effects of glyphosate rates on soil microbial and nematode communities were also studied in a controlled environment. Values for SMB carbon, SIR, and BIOLOG substrate utilization were not altered by glyphosate. Nematode community response to the glyphosate treatment was similar under both conventional tillage and no-till environments. Total nematode densities were similar with the glyphosate and conventional herbicide treatments. SMB carbon and BIOLOG substrate utilization did not differ between tillage treatments. Nematode densities were greater under conventional tillage than in the no-till system. This study showed that soil health when glyphosate was applied in a glyphosate-resistant cropping system was similar to that of cropping systems that used conventional herbicides."
"254","Lins, V. S.; Santos, H.; Goncalves, M. C.","The effect of the glyphosate, 2,4-D, atrazine e nicosulfuron herbicides upon the edaphic collembola (Arthropoda : Ellipura) in a no tillage system",2007,"Neotropical Entomology","10.1590/s1519-566x2007000200013","The use of herbicides is a common and intensive practice in no tillage systems. The herbicides can influence, directly or indirectly, the population of edaphic arthropods. Collembola is a group that functions as a bio-indicator of soil conditions. The degree of abundance and diversity of Collembola provides the level of soil disturbance provoked by agricultural practices. This experiment was designed to compare the influence of herbicides on the population fluctuation of Collembola in a no-till soil preparation system. The work was conducted in a non irrigated no-till area at the Nucleo Experimental de Ciencias Agrarias of the Universidade Federal de Mato Grosso do Sul (UFMS), Campus de Dourados, in soil planted with corn as a surface covering, during the period of December, 2002 to December, 2003. The data were analyzed according to a completely randomized model, in a split plot design. The plots received four types of herbicides: glyphosate, atrazine, 2,4-D and nicosulfuron. A fifth plot did not receive any herbicide (control), for a total of five treatment types. The sub plots were represented by their collection times (10, 20, 30 and 40 days after the herbicide applications). Both the type of herbicide and the time of data sampling influenced the Collembola population fluctuaction. The treatments with atrazine and 2,4-D caused the most reduction of the population of Collembola, depending on the time of application."
